created_at,content
2012-02-04T09:38:03,zo sneeuwpopje maken met mn lieve zusjee @FALLONIUSS
2012-02-04T09:38:05,@baregje Haaaaaaai #kepzininvanavond! http://t.co/3Ep2BuHY
2012-02-04T09:38:06,RT @1_floris_1: Kon ik nu maar schaatsen...
2012-02-04T09:38:09,RT @VVHBiesbosch: VVHB #Biesbosch is klaar voor de hel van 2012! Toertocht te voet! @nationaleparken
2012-02-04T09:38:09,10:38:13 Prio 1 TS528 BINNENBRAND:WONING GRAAFDIJK WEST 6 MOLENAARSGRAAF
2012-02-04T09:38:11,Tis waarhoor
2012-02-04T09:38:11,@BryherTrathen Ohhhhh :O :O HEEEYYY :D:D:D xxx
2012-02-04T09:38:14,Banaan is minder lekker dan maderijn
2012-02-04T09:38:15,"@Amberrx_x gefeliciteerd schatje ! 
Loveyouubest !"
2012-02-04T09:38:16,@Ashleyyboo13  ging je slape met lenze
2012-02-04T09:38:18,@Brittjx maar dat ben ik ook allemaal alleen heb ik geen zwart haar;)
2012-02-04T09:38:19,"Mijn bed is nog zo lekker warm, dat ik er niet uit wil#hahahahah wat ben ik erg!"
2012-02-04T09:38:19,"@Zoetjeee3 nee ik moest ook schaatsen hebben maar mam heeft ze weggegooid, maar heeft oma nog schaatsen voor mij denk je ? ;$"
2012-02-04T09:38:20,moemoemoe
2012-02-04T09:38:20,Twee gewonden bij aanrijding op Wollenbergseweg Mill http://t.co/Cmzqn729
2012-02-04T09:38:23,"イベント楽しみにしてます！　#girls_run　""@nagaikaori0918: 【ブログ更新】名古屋タカシマヤ Girls Run Week http://t.co/owuKrupQ #ametwi"""
2012-02-04T09:38:25,@Margotstoel gaan we stad?
2012-02-04T09:38:29,Rustenburger.
2012-02-04T09:38:30,Cappuchino ofzo drinken #heerluk
2012-02-04T09:38:32,"RT @hafeezRM: Maar als een meid je vals maakt , mag je dr gwn eentje uithalen"
2012-02-04T09:38:33,Ik vind steeds overal nieuwe oude schoenen die ik nog pas. #feestje
2012-02-04T09:38:33,@__IsabellyG vlw
2012-02-04T09:38:34,@bert_hazeleger Doordat je niet optijd de openstaande rekeningen hebt voldaan hebben wij jouw contract beëindigd. Je bent hiervan niet (1)
2012-02-04T09:38:36,RT @Perfectejongen: jongens die bellen/sms'en dat ze veilig zijn aangekomen en je je geen zorgen hoeft te maken #PerfecteJongen &lt;3_&lt;3
2012-02-04T09:38:37,Is het toch nog egt winter
2012-02-04T09:38:38,Benieuwd of er #LL12 kaarten besteld kunnen gaan worden zometeen n_n
2012-02-04T09:38:39,Noren zijn eigenlijk fk chil
2012-02-04T09:38:40,"Yeah , supermarkt gevonden #ameland"
2012-02-04T09:38:40,Zelfs de altijd stromende beek in de tuin is bevroren!voor het eerst in 21 jaar http://t.co/PecUlmFr
2012-02-04T09:38:42,M'n moeder staat met een cd de auto te krabben omdat ze geen krabber heeft:s
2012-02-04T09:38:44,Wakkeerr
2012-02-04T09:38:45,@roanvvk ik heb geen schaatsen
2012-02-04T09:38:48,Ehmm cieeeRT @dessypurwanti: Hati hati yang lagi otw ke bec ♥☺ hati hati yaah :):*=))
2012-02-04T09:38:48,ff in hotmail kijken
2012-02-04T09:38:48,@CHNL070 Bus 21 heeft momenteel geen vertraging.
2012-02-04T09:38:50,zzo maar van bedd
